colorNameId,participantId,lang0,phaseNum,trialNum,tileNum,name,r,g,b,lab_l,lab_a,lab_b,bin
81,3143,English (English),0,1,8,Red,255,24,0,53,78,67,0
82,3143,English (English),0,1,9,Red,255,0,9,53,80,65,35
83,3143,English (English),0,1,10,Fuchsia,255,0,245,59,96,-56,28
84,3143,English (English),0,1,11,Baby Blue,0,218,255,80,-31,-30,17
85,3146,English (English),0,1,0,Carolina Blue,0,152,255,61,4,-60,20
86,3146,English (English),0,1,1,Neon Green,184,255,0,92,-49,88,7
87,3146,English (English),0,1,2,Lime Green,0,255,71,87,-83,69,10
88,3146,English (English),0,1,3,Blue,0,42,255,35,68,-102,24
89,3146,English (English),0,1,4,Teal,0,255,241,90,-52,-7,15
90,3146,English (English),0,1,5,Lime Green,92,255,0,88,-76,84,9
91,3146,English (English),0,1,6,Yellow,255,242,0,93,-15,92,5
92,3146,English (English),0,1,7,Hot Pink,255,0,178,56,88,-23,30
93,3146,English (English),0,1,8,Yellow/Orange,255,199,0,82,6,84,4
94,3146,English (English),0,1,9,Neon Green,191,255,0,92,-46,89,7
95,3146,English (English),0,1,10,Bright Blue,0,190,255,72,-17,-42,18
96,3146,English (English),0,1,11,Orange,255,115,0,64,49,72,1
97,3147,English (English),0,1,0,Light blue,0,169,255,66,-5,-52,19
98,3147,English (English),0,1,1,Lime green,156,255,0,91,-59,87,8
99,3147,English (English),0,1,2,Red,255,44,0,55,74,67,0
100,3147,English (English),0,1,3,Sky blue,0,186,255,71,-15,-44,18
101,3147,English (English),0,1,4,Scarlet,255,0,34,53,80,56,35
102,3147,English (English),0,1,5,Mauve,110,0,255,38,81,-96,26
103,3147,English (English),0,1,6,Neon green,101,255,0,89,-74,84,9
104,3147,English (English),0,1,7,Mustard,255,217,0,87,-2,87,5
105,3147,English (English),0,1,8,Royal blue,0,62,255,39,59,-96,24
106,3147,English (English),0,1,9,Azure,0,146,255,59,7,-62,20
107,3147,English (English),0,1,10,Light green,192,255,0,92,-46,89,7
108,3147,English (English),0,1,11,Orange,255,105,0,62,53,71,1
109,3143,English (English),0,3,0,Orange,255,146,0,70,33,76,2
110,3143,English (English),0,3,1,Purple,126,0,255,40,83,-93,26
111,3143,English (English),0,3,2,Blue,0,56,255,37,62,-98,24
112,3143,English (English),0,3,3,Blue,0,68,255,40,55,-94,23
113,3143,English (English),0,3,4,Turqoise,0,255,173,89,-68,25,13
114,3143,English (English),0,3,5,Dark Pink,255,0,92,54,82,24,33
115,3143,English (English),0,3,6,Mint Green,0,255,114,88,-78,52,11
116,3143,English (English),0,3,7,Baby Blue,0,200,255,75,-22,-38,18
117,3143,English (English),0,3,8,Light Blue,0,255,227,90,-55,0,15
118,3143,English (English),0,3,9,Dark Orange,255,92,0,60,59,70,1
119,3143,English (English),0,3,10,Baby blue,0,179,255,69,-11,-47,18
120,3143,English (English),0,3,11,Blue,0,3,255,32,78,-107,25
121,3147,English (English),0,3,0,Yellow,238,255,0,95,-28,92,6
122,3147,English (English),0,3,1,Hot pink,255,0,198,57,91,-33,30
123,3147,English (English),0,3,2,Mint green,0,255,179,89,-67,22,13
124,3147,English (English),0,3,3,Apple,0,255,141,88,-74,40,12
125,3147,English (English),0,3,4,Bright turquoise,0,255,203,89,-61,10,14
126,3147,English (English),0,3,5,Dark pink,255,0,219,58,93,-43,29
127,3147,English (English),0,3,6,Navy,0,80,255,42,48,-90,23
128,3147,English (English),0,3,7,Red/pink,255,0,97,54,82,21,33
